fortid
"EMEPNI    "
"SOIPHO    "
"SOINIT    "
"INISOI    "
"SETFAT    "
"SOIPRT    "
"ESPGSS    "
"DIFTEM    "
"HYDRAU    "
"SEDLNK    "
"EMLGEN    "
